iter	RMSE
0	16.26466841
1	15.8431628
2	15.43868378
3	15.03366981
4	14.64889355
5	14.28192952
6	13.97072952
7	13.65238942
8	13.33300112
9	13.04315635
10	12.74085929
11	12.4606305
12	12.19498958
13	11.9388966
14	11.68844297
15	11.45261941
16	11.2424722
17	11.01922169
18	10.82314933
19	10.60423969
20	10.42264681
21	10.24517505
22	10.05979961
23	9.876914947
24	9.707502702
25	9.567175429
26	9.416820342
27	9.261024305
28	9.126539572
29	8.980565738
30	8.850229555
31	8.74131991
32	8.60550146
33	8.472496546
34	8.347152187
35	8.251950343
36	8.154896725
37	8.045136655
38	7.950891582
39	7.854399708
40	7.761516058
41	7.662438541
42	7.578513843
43	7.475030688
44	7.406215352
45	7.32990064
46	7.263114992
47	7.189254886
48	7.125506526
49	7.054249698
50	6.996559199
51	6.945498015
52	6.890604577
53	6.837212021
54	6.773955197
55	6.718030628
56	6.661331913
57	6.621740884
58	6.575932805
59	6.533877835
60	6.492742953
61	6.451762065
62	6.403584198
63	6.357237486
64	6.315543745
65	6.267676482
66	6.234962974
67	6.200109467
68	6.154274536
69	6.120762917
70	6.085688367
71	6.053167974
72	6.017730492
73	5.987002706
74	5.960310777
75	5.937050443
76	5.913078773
77	5.883839832
78	5.849734478
79	5.815904797
80	5.794805777
81	5.769115679
82	5.744717216
83	5.719920448
84	5.69437155
85	5.668684518
86	5.645764494
87	5.626395377
88	5.607620105
89	5.582279945
90	5.559494882
91	5.534130348
92	5.513695869
93	5.496981171
94	5.473101766
95	5.453287357
96	5.439676698
97	5.414808312
98	5.393836724
99	5.379800581
100	5.362092473
101	5.336434827
102	5.311262576
103	5.293439643
104	5.276343748
105	5.260006791
106	5.242743529
107	5.224779929
108	5.207061016
109	5.182978597
110	5.165567381
111	5.151550167
112	5.144071437
113	5.130236133
114	5.116611248
115	5.099387103
116	5.087302359
117	5.072172183
118	5.057014792
119	5.03989538
120	5.024807275
121	5.018086314
122	5.000896701
123	4.983199185
124	4.966354285
125	4.958234942
126	4.94785454
127	4.936079386
128	4.923733118
129	4.915742376
130	4.908867254
131	4.897627889
132	4.891821223
133	4.882104251
134	4.877036129
135	4.861151317
136	4.852417255
137	4.832332717
138	4.815410314
139	4.79799633
140	4.785461934
141	4.771888908
142	4.760734643
143	4.750944806
144	4.742146997
145	4.73064958
146	4.718779927
147	4.702862642
148	4.693967572
149	4.677033563
150	4.669518384
151	4.661614522
152	4.656958711
153	4.642097905
154	4.632303915
155	4.619891983
156	4.612813472
157	4.60133577
158	4.595231354
159	4.584969344
160	4.576548996
161	4.56440224
162	4.545319199
163	4.536565474
164	4.523425659
165	4.512242425
166	4.503248308
167	4.495627243
168	4.485669308
169	4.474963344
170	4.468267371
171	4.463192351
172	4.455765289
173	4.447881331
174	4.435660626
175	4.427550955
176	4.410240267
177	4.406030321
178	4.392900478
179	4.376247393
180	4.367972278
181	4.357257465
182	4.348093475
183	4.342565421
184	4.336141481
185	4.331630546
186	4.322834453
187	4.313732221
188	4.307683945
189	4.301033757
190	4.292698983
191	4.278788962
192	4.268698412
193	4.261498585
194	4.253182614
195	4.24843688
196	4.235924969
197	4.228355117
198	4.225746091
199	4.222362771
200	4.209914656
201	4.198996567
202	4.186003449
203	4.180695376
204	4.177741782
205	4.166703029
206	4.163416872
207	4.157586789
208	4.1520963
209	4.149556115
210	4.137179921
211	4.12406757
212	4.110319776
213	4.09953636
214	4.089232955
215	4.076268429
216	4.074066171
217	4.067851948
218	4.065503368
219	4.057171725
220	4.054982222
221	4.04267715
222	4.037594582
223	4.032868565
224	4.027288601
225	4.011523304
226	4.004627318
227	3.997871237
228	3.994274038
229	3.992320568
230	3.978920302
231	3.976994876
232	3.974235173
233	3.963129428
234	3.955171266
235	3.944159902
236	3.941042004
237	3.934453934
238	3.932669905
239	3.920637865
240	3.919169282
241	3.909872185
242	3.900940517
243	3.892817115
244	3.878241331
245	3.867740392
246	3.856593157
247	3.851373659
248	3.839979332
249	3.837553764
250	3.830438589
251	3.818385185
252	3.808813657
253	3.804022756
254	3.80207891
255	3.792313276
256	3.790780423
257	3.781932088
258	3.775808912
259	3.766075281
260	3.763850099
261	3.756039865
262	3.749749471
263	3.746421775
264	3.744082742
265	3.738766868
266	3.72765234
267	3.72215474
268	3.71306476
269	3.709588039
270	3.702440843
271	3.696164238
272	3.686637259
273	3.677104283
274	3.674852983
275	3.672318359
276	3.671446493
277	3.662646645
278	3.650816521
279	3.64324698
280	3.634294019
281	3.633159491
282	3.62400937
283	3.612791298
284	3.609555455
285	3.604953686
286	3.599457221
287	3.593177799
288	3.591135239
289	3.579051655
290	3.570855991
291	3.561389606
292	3.560278252
293	3.551223217
294	3.543575055
295	3.535921394
296	3.526741941
297	3.519663524
298	3.515008816
299	3.509112397
300	3.501746163
301	3.495767385
302	3.491105763
303	3.485200263
304	3.477306321
305	3.474202129
306	3.463835251
307	3.454148889
308	3.453135144
309	3.447782179
310	3.440570176
311	3.435317093
312	3.425866561
313	3.418731459
314	3.409125915
315	3.408423481
316	3.402892442
317	3.395195979
318	3.388438247
319	3.379305171
320	3.378350658
321	3.373031806
322	3.370497977
323	3.368637766
324	3.361951879
325	3.360950441
326	3.351680156
327	3.342888512
328	3.334514586
329	3.330556453
330	3.325830173
331	3.321901772
332	3.315576248
333	3.307857825
334	3.304997605
335	3.294492329
336	3.286474314
337	3.282937541
338	3.28109664
339	3.275864282
340	3.268435786
341	3.262120214
342	3.257529388
343	3.251330291
344	3.244768681
345	3.238936142
346	3.233232249
347	3.231717538
348	3.227525349
349	3.222275497
350	3.215451566
351	3.206413005
352	3.197506822
353	3.195813562
354	3.190174728
355	3.184064856
356	3.178181377
357	3.171236594
358	3.164469923
359	3.15739464
360	3.152960849
361	3.14768031
362	3.139729147
363	3.135233497
364	3.128639712
365	3.12630769
366	3.116551636
367	3.110308254
368	3.106700444
369	3.106003378
370	3.104031211
371	3.095504756
372	3.092601541
373	3.088038589
374	3.081961957
375	3.078670485
376	3.071744059
377	3.065354537
378	3.059680239
379	3.054764877
380	3.047531559
381	3.043280825
382	3.042687175
383	3.038609294
384	3.03448637
385	3.027137876
386	3.019231638
387	3.01804355
388	3.012522203
389	3.008913496
390	3.008410963
391	3.003600565
392	2.998825058
393	2.998000052
394	2.989441297
395	2.981109889
396	2.973137229
397	2.971109902
398	2.970485612
399	2.970056903
400	2.969523274
401	2.964008681
402	2.959295062
403	2.953944924
404	2.949573643
405	2.944151385
406	2.939413438
407	2.935553439
408	2.932489822
409	2.927273156
410	2.923000014
411	2.920613811
412	2.917557942
413	2.912946864
414	2.907938094
415	2.90552887
416	2.902793299
417	2.899213068
418	2.895717208
419	2.893190525
420	2.892755894
421	2.888129835
422	2.886074561
423	2.88162717
424	2.878367502
425	2.875139759
426	2.868836668
427	2.86497634
428	2.856327793
429	2.852423116
430	2.848735238
431	2.844096332
432	2.84023361
433	2.835141871
434	2.829817975
435	2.825180588
436	2.820266787
