iter	Passed	Remaining
0	50	50186
1	52	26093
2	54	18020
3	69	17389
4	72	14329
5	73	12155
6	74	10606
7	76	9478
8	102	11327
9	107	10605
10	140	12626
11	143	11814
12	173	13176
13	175	12350
14	185	12166
15	186	11491
16	190	10999
17	191	10464
18	193	9991
19	204	10008
20	206	9642
21	214	9556
22	234	9974
23	237	9661
24	250	9756
25	251	9438
26	258	9305
27	260	9058
28	263	8833
29	278	8991
30	282	8832
31	286	8668
32	288	8442
33	291	8281
34	297	8212
35	313	8382
36	315	8218
37	319	8079
38	370	9133
39	396	9522
40	428	10021
41	430	9808
42	440	9813
43	444	9651
44	448	9517
45	452	9392
46	458	9305
47	493	9778
48	508	9873
49	520	9893
50	551	10265
51	568	10359
52	600	10722
53	603	10566
54	607	10440
55	661	11144
56	688	11397
57	691	11225
58	704	11236
59	706	11069
60	737	11348
61	767	11606
62	769	11451
63	794	11621
64	820	11805
65	824	11669
66	853	11891
67	856	11745
68	880	11878
69	883	11734
70	906	11861
71	910	11740
72	912	11590
73	960	12019
74	976	12040
75	1010	12280
76	1014	12158
77	1062	12556
78	1065	12426
79	1084	12475
80	1088	12353
81	1141	12773
82	1169	12923
83	1173	12792
84	1191	12823
85	1214	12912
86	1222	12828
87	1230	12751
88	1299	13305
89	1330	13449
90	1345	13443
91	1353	13355
92	1360	13267
93	1367	13184
94	1374	13093
95	1382	13021
96	1390	12948
97	1405	12932
98	1411	12845
99	1419	12775
100	1427	12703
101	1435	12637
102	1451	12636
103	1454	12531
104	1461	12453
105	1484	12523
106	1512	12624
107	1545	12762
108	1563	12776
109	1564	12660
110	1569	12567
111	1571	12461
112	1592	12498
113	1596	12410
114	1639	12615
115	1648	12564
116	1650	12456
117	1678	12547
118	1687	12496
119	1703	12488
120	1713	12450
121	1756	12644
122	1767	12599
123	1800	12716
124	1838	12868
125	1842	12777
126	1850	12718
127	1898	12931
128	1906	12871
129	1932	12930
130	1954	12964
131	1958	12877
132	2025	13200
133	2058	13305
134	2062	13216
135	2102	13357
136	2105	13263
137	2136	13346
138	2140	13257
139	2173	13354
140	2177	13262
141	2207	13338
142	2211	13254
143	2241	13325
144	2269	13381
145	2305	13485
146	2308	13392
147	2346	13507
148	2350	13425
149	2370	13434
150	2394	13463
151	2399	13387
152	2443	13528
153	2446	13441
154	2450	13361
155	2488	13465
156	2490	13375
157	2515	13403
158	2519	13328
159	2558	13432
160	2562	13353
161	2588	13388
162	2592	13312
163	2625	13384
164	2649	13405
165	2651	13322
166	2677	13356
167	2692	13332
168	2694	13250
169	2719	13279
170	2742	13295
171	2746	13223
172	2776	13274
173	2801	13300
174	2844	13409
175	2870	13440
176	2882	13401
177	2911	13444
178	2917	13380
179	2922	13311
180	2959	13389
181	3008	13523
182	3011	13445
183	3050	13526
184	3079	13566
185	3084	13498
186	3142	13660
187	3144	13583
188	3162	13569
189	3192	13610
190	3196	13540
191	3262	13730
192	3280	13717
193	3298	13704
194	3302	13634
195	3343	13713
196	3384	13796
197	3393	13746
198	3401	13692
199	3420	13681
200	3436	13659
201	3438	13583
202	3443	13518
203	3489	13617
204	3505	13594
205	3509	13526
206	3546	13587
207	3549	13515
208	3565	13495
209	3601	13548
210	3625	13558
211	3629	13492
212	3653	13500
213	3656	13428
214	3685	13457
215	3688	13388
216	3717	13413
217	3720	13345
218	3755	13392
219	3765	13348
220	3770	13291
221	3810	13355
222	3866	13472
223	3887	13467
224	3908	13461
225	3929	13456
226	3933	13393
227	3972	13449
228	3998	13460
229	4001	13396
230	4005	13334
231	4041	13377
232	4072	13404
233	4075	13340
234	4077	13272
235	4101	13278
236	4127	13288
237	4131	13226
238	4135	13167
239	4178	13232
240	4182	13173
241	4221	13222
242	4241	13211
243	4244	13152
244	4276	13180
245	4316	13231
246	4321	13175
247	4325	13115
248	4346	13110
249	4373	13119
250	4377	13063
251	4381	13005
252	4424	13062
253	4449	13066
254	4450	13003
255	4470	12991
256	4473	12932
257	4477	12876
258	4510	12903
259	4534	12906
260	4560	12912
261	4604	12969
262	4606	12908
263	4617	12872
264	4634	12853
265	4648	12828
266	4651	12770
267	4679	12780
268	4681	12721
269	4685	12668
270	4744	12761
271	4752	12720
272	4768	12699
273	4773	12647
274	4777	12594
275	4812	12623
276	4816	12572
277	4866	12638
278	4873	12593
279	4897	12593
280	4900	12539
281	4936	12568
282	4949	12540
283	4953	12489
284	4979	12493
285	5005	12495
286	5007	12440
287	5010	12387
288	5043	12407
289	5045	12352
290	5072	12359
291	5091	12345
292	5114	12341
293	5116	12287
294	5120	12238
295	5143	12234
296	5150	12192
297	5196	12240
298	5199	12189
299	5234	12214
300	5241	12172
301	5255	12145
302	5273	12129
303	5277	12082
304	5288	12051
305	5293	12005
306	5319	12008
307	5355	12032
308	5362	11991
309	5395	12008
310	5412	11991
311	5414	11940
312	5416	11888
313	5419	11839
314	5433	11816
315	5435	11765
316	5437	11714
317	5466	11724
318	5500	11741
319	5508	11705
320	5511	11658
321	5513	11608
322	5544	11621
323	5568	11617
324	5572	11572
325	5597	11573
326	5601	11528
327	5642	11559
328	5681	11587
329	5683	11540
330	5693	11507
331	5701	11472
332	5706	11429
333	5710	11386
334	5719	11353
335	5728	11320
336	5745	11302
337	5747	11256
338	5805	11319
339	5840	11336
340	5843	11293
341	5900	11353
342	5904	11308
343	5925	11298
344	5930	11258
345	5974	11292
346	5976	11247
347	5991	11224
348	5996	11184
349	6048	11232
350	6059	11203
351	6063	11162
352	6089	11161
353	6093	11120
354	6125	11129
355	6126	11083
356	6159	11094
357	6161	11049
358	6180	11036
359	6185	10996
360	6222	11013
361	6224	10969
362	6225	10925
363	6233	10891
364	6234	10846
365	6236	10802
366	6263	10803
367	6266	10762
368	6269	10720
369	6306	10737
370	6309	10697
371	6311	10655
372	6364	10698
373	6366	10655
374	6408	10680
375	6411	10640
376	6432	10629
377	6450	10615
378	6484	10625
379	6498	10603
380	6505	10569
381	6554	10603
382	6559	10567
383	6572	10543
384	6595	10535
385	6606	10509
386	6609	10468
387	6616	10435
388	6641	10431
389	6659	10416
390	6661	10376
391	6669	10344
392	6682	10321
393	6690	10290
394	6716	10286
395	6739	10278
396	6747	10248
397	6770	10241
398	6778	10210
399	6787	10180
400	6828	10200
401	6840	10175
402	6878	10190
403	6907	10190
404	6913	10156
405	6918	10121
406	6973	10161
407	6976	10123
408	7004	10120
409	7006	10082
410	7010	10047
411	7045	10054
412	7074	10054
413	7092	10038
414	7095	10002
415	7097	9964
416	7109	9939
417	7149	9955
418	7182	9959
419	7187	9925
420	7190	9889
421	7196	9857
422	7208	9833
423	7248	9847
424	7292	9866
425	7294	9829
426	7299	9794
427	7300	9757
428	7371	9811
429	7374	9775
430	7405	9776
431	7407	9740
432	7412	9706
433	7432	9693
434	7452	9679
435	7465	9657
436	7504	9667
437	7508	9634
438	7513	9602
439	7533	9588
440	7537	9554
441	7559	9543
442	7570	9518
443	7582	9495
444	7601	9480
445	7604	9445
446	7629	9439
447	7635	9407
448	7696	9444
449	7718	9433
450	7722	9400
451	7744	9389
452	7749	9357
453	7778	9355
454	7797	9339
455	7799	9304
456	7817	9288
457	7846	9285
458	7862	9267
459	7884	9255
460	7886	9220
461	7896	9195
462	7898	9161
463	7916	9144
464	7930	9124
465	7934	9092
466	7974	9101
467	7976	9067
468	8021	9081
469	8024	9049
470	8045	9036
471	8047	9002
472	8052	8971
473	8087	8974
474	8089	8940
475	8110	8928
476	8147	8933
477	8151	8901
478	8172	8888
479	8175	8856
480	8194	8842
481	8211	8824
482	8213	8791
483	8239	8784
484	8245	8755
485	8276	8753
486	8296	8738
487	8299	8707
488	8334	8709
489	8338	8678
490	8410	8719
491	8413	8687
492	8417	8656
493	8419	8624
494	8448	8618
495	8458	8595
496	8488	8590
497	8490	8558
498	8494	8529
499	8504	8504
500	8516	8482
501	8531	8463
502	8546	8444
503	8575	8439
504	8578	8408
505	8582	8378
506	8584	8347
507	8655	8382
508	8660	8354
509	8700	8359
510	8704	8329
511	8726	8317
512	8728	8286
513	8733	8258
514	8735	8226
515	8785	8240
516	8789	8211
517	8790	8179
518	8824	8178
519	8828	8149
520	8851	8138
521	8855	8109
522	8919	8135
523	8928	8110
524	8930	8079
525	8960	8074
526	8989	8068
527	8994	8040
528	9026	8036
529	9029	8007
530	9049	7993
531	9054	7965
532	9080	7956
533	9083	7927
534	9104	7913
535	9106	7883
536	9143	7883
537	9167	7872
538	9171	7843
539	9182	7822
540	9191	7798
541	9221	7792
542	9223	7762
543	9225	7733
544	9227	7703
545	9229	7674
546	9231	7645
547	9301	7672
548	9321	7657
549	9331	7634
550	9358	7626
551	9381	7613
552	9385	7586
553	9430	7592
554	9454	7580
555	9489	7578
556	9499	7555
557	9505	7529
558	9552	7535
559	9554	7506
560	9604	7515
561	9607	7487
562	9611	7460
563	9615	7432
564	9618	7405
565	9640	7392
566	9653	7372
567	9656	7344
568	9689	7339
569	9691	7311
570	9695	7283
571	9696	7255
572	9699	7227
573	9701	7199
574	9703	7172
575	9705	7144
576	9707	7116
577	9709	7089
578	9712	7061
579	9713	7034
580	9715	7006
581	9718	6980
582	9730	6959
583	9733	6933
584	9741	6910
585	9743	6883
586	9745	6856
587	9747	6829
588	9770	6817
589	9773	6791
590	9794	6778
591	9812	6762
592	9819	6739
593	9848	6731
594	9853	6706
595	9892	6705
596	9897	6680
597	9927	6673
598	9930	6647
599	9931	6621
600	9961	6613
601	9965	6588
602	9992	6578
603	9997	6554
604	9999	6528
605	10085	6557
606	10120	6552
607	10124	6527
608	10139	6509
609	10142	6484
610	10170	6475
611	10187	6458
612	10190	6433
613	10210	6418
614	10234	6406
615	10296	6418
616	10304	6396
617	10307	6371
618	10309	6345
619	10337	6336
620	10340	6310
621	10342	6285
622	10382	6282
623	10412	6274
624	10414	6248
625	10432	6232
626	10458	6221
627	10462	6197
